estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
GO,2020-03-04,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-05,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-06,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-07,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-08,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-09,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-10,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-11,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-12,0,0,0,0,0.0,0.0,,0.0
GO,2020-03-13,3,3,0,0,0.42857142857142855,0.0,,0.47712125471966244
GO,2020-03-14,3,0,0,0,0.42857142857142855,0.0,,0.47712125471966244
GO,2020-03-15,3,0,0,0,0.42857142857142855,0.0,,0.47712125471966244
GO,2020-03-16,3,0,0,0,0.42857142857142855,0.0,,0.47712125471966244
GO,2020-03-17,6,3,0,0,0.8571428571428571,0.0,,0.7781512503836436
GO,2020-03-18,8,2,0,0,1.1428571428571428,0.0,,0.9030899869919435
GO,2020-03-19,12,4,0,0,1.7142857142857142,0.0,,1.0791812460476249
GO,2020-03-20,15,3,0,0,1.7142857142857142,0.0,,1.1760912590556813
GO,2020-03-21,20,5,0,0,2.4285714285714284,0.0,,1.3010299956639813
GO,2020-03-22,21,1,0,0,2.5714285714285716,0.0,,1.3222192947339193
GO,2020-03-23,23,2,0,0,2.857142857142857,0.0,,1.3617278360175928
GO,2020-03-24,27,4,0,0,3.0,0.0,,1.4313637641589874
GO,2020-03-25,29,2,0,0,3.0,0.0,,1.462397997898956
GO,2020-03-26,39,10,1,1,3.857142857142857,0.14285714285714285,inf,1.591064607026499
GO,2020-03-27,49,10,1,0,4.857142857142857,0.14285714285714285,inf,1.6901960800285136
GO,2020-03-28,56,7,1,0,5.142857142857143,0.14285714285714285,inf,1.7481880270062005
GO,2020-03-29,58,2,1,0,5.285714285714286,0.14285714285714285,inf,1.7634279935629373
GO,2020-03-30,61,3,1,0,5.428571428571429,0.14285714285714285,inf,1.7853298350107671
GO,2020-03-31,65,4,1,0,5.428571428571429,0.14285714285714285,inf,1.8129133566428555
GO,2020-04-01,71,6,1,0,6.0,0.14285714285714285,inf,1.8512583487190752
GO,2020-04-02,73,2,1,0,4.857142857142857,0.0,,1.863322860120456
GO,2020-04-03,88,15,2,1,5.571428571428571,0.14285714285714285,inf,1.9444826721501687
GO,2020-04-04,103,15,2,0,6.714285714285714,0.14285714285714285,inf,2.012837224705172
GO,2020-04-05,115,12,3,1,8.142857142857142,0.2857142857142857,inf,2.060697840353612
GO,2020-04-06,119,4,5,2,8.285714285714286,0.5714285714285714,inf,2.075546961392531
GO,2020-04-07,133,14,5,0,9.714285714285714,0.5714285714285714,inf,2.123851640967086
GO,2020-04-08,158,25,7,2,12.428571428571429,0.8571428571428571,inf,2.1986570869544226
GO,2020-04-09,179,21,7,0,15.142857142857142,0.8571428571428571,5.0,2.2528530309798933
GO,2020-04-10,191,12,8,1,14.714285714285714,0.8571428571428571,5.0,2.2810333672477277
GO,2020-04-11,209,18,10,2,15.142857142857142,1.1428571428571428,7.0,2.320146286111054
GO,2020-04-12,229,20,14,4,16.285714285714285,1.5714285714285714,10.0,2.359835482339888
GO,2020-04-13,233,4,15,1,16.285714285714285,1.4285714285714286,9.000000000000002,2.367355921026019
GO,2020-04-14,284,51,15,0,21.571428571428573,1.4285714285714286,9.000000000000002,2.4533183400470375
GO,2020-04-15,304,20,15,0,20.857142857142858,1.1428571428571428,7.0,2.482873583608754
GO,2020-04-16,318,14,16,1,19.857142857142858,1.2857142857142858,inf,2.5024271199844326
GO,2020-04-17,335,17,16,0,20.571428571428573,1.1428571428571428,7.0,2.525044807036845
GO,2020-04-18,378,43,18,2,24.142857142857142,1.1428571428571428,7.0,2.577491799837225
GO,2020-04-19,393,15,18,0,23.428571428571427,0.5714285714285714,1.0,2.5943925503754266
GO,2020-04-20,403,10,19,1,24.285714285714285,0.5714285714285714,0.0,2.6053050461411096
GO,2020-04-21,421,18,19,0,19.571428571428573,0.5714285714285714,0.0,2.6242820958356683
GO,2020-04-22,438,17,21,2,19.142857142857142,0.8571428571428571,0.0,2.6414741105040993
GO,2020-04-23,453,15,23,2,19.285714285714285,1.0,0.16666666666666674,2.656098202012832
GO,2020-04-24,486,33,24,1,21.571428571428573,1.1428571428571428,0.3333333333333333,2.6866362692622934
GO,2020-04-25,506,20,25,1,18.285714285714285,1.0,-0.12499999999999994,2.7041505168397992
GO,2020-04-26,573,67,25,0,25.714285714285715,1.0,-0.36363636363636365,2.75815462196739
GO,2020-04-27,616,43,26,1,30.428571428571427,1.0,-0.3,2.7895807121644256
GO,2020-04-28,661,45,27,1,34.285714285714285,1.1428571428571428,-0.20000000000000007,2.82020145948564
GO,2020-04-29,705,44,27,0,38.142857142857146,0.8571428571428571,-0.25,2.848189116991399
GO,2020-04-30,781,76,29,2,46.857142857142854,0.8571428571428571,-0.3333333333333334,2.8926510338773004
GO,2020-05-01,808,27,29,0,46.0,0.7142857142857143,-0.37499999999999994,2.907411360774586
GO,2020-05-02,825,17,30,1,45.57142857142857,0.7142857142857143,-0.37499999999999994,2.916453948549925
GO,2020-05-03,850,25,30,0,39.57142857142857,0.7142857142857143,0.2500000000000001,2.929418925714293
GO,2020-05-04,861,11,30,0,35.0,0.5714285714285714,0.0,2.935003151453655
GO,2020-05-05,922,61,38,8,37.285714285714285,1.5714285714285714,1.75,2.9647309210536292
GO,2020-05-06,1024,102,44,6,45.57142857142857,2.4285714285714284,1.833333333333333,3.010299956639812
GO,2020-05-07,1027,3,44,0,35.142857142857146,2.142857142857143,1.1428571428571428,3.0115704435972783
GO,2020-05-08,1053,26,47,3,35.0,2.5714285714285716,1.2500000000000002,3.0224283711854865
GO,2020-05-09,1069,16,47,0,34.857142857142854,2.4285714285714284,1.4285714285714284,3.028977705208778
GO,2020-05-10,1093,24,47,0,34.714285714285715,2.4285714285714284,1.4285714285714284,3.038620161949703
GO,2020-05-11,1100,7,49,2,34.142857142857146,2.7142857142857144,1.7142857142857144,3.041392685158225
GO,2020-05-12,1115,15,52,3,27.571428571428573,2.0,0.7500000000000001,3.0472748673841794
GO,2020-05-13,1134,19,61,9,15.714285714285714,2.4285714285714284,1.833333333333333,3.0546130545568877
GO,2020-05-14,1423,289,64,3,56.57142857142857,2.857142857142857,2.3333333333333335,3.153204900084284
GO,2020-05-15,1572,149,67,3,74.14285714285714,2.857142857142857,3.0,3.196452541703389
